Temps (s) 	 Thermocouple (°C) 	 Lumière 	 Pression (Pa)
Temps (s) 	 Thermocouple (°C) 	 Lumière 	 Pression (Pa)
0.41	20.53	650.00	97321.43
1.46	20.53	650.00	97321.43
2.51	20.53	648.00	97321.43
3.56	20.53	649.00	97321.43
4.61	20.53	649.00	97321.43
5.66	20.53	650.00	97321.43
6.70	20.53	651.00	97321.43
7.75	20.53	650.00	97544.64
8.80	20.53	592.00	97321.43
9.85	20.53	654.00	97321.43
10.90	20.53	642.00	97321.43
11.95	20.53	656.00	97321.43
13.00	20.53	657.00	97321.43
14.05	20.53	655.00	97321.43
15.10	20.53	659.00	97321.43
16.15	20.53	642.00	97321.43
17.20	20.53	645.00	97321.43
18.25	20.53	647.00	97321.43
19.30	20.53	648.00	97321.43
20.35	20.53	648.00	97321.43
21.40	20.53	648.00	97544.64
22.45	20.53	648.00	97321.43
23.50	20.53	648.00	97321.43
24.55	20.53	648.00	97321.43
25.59	20.53	648.00	97321.43
26.64	20.53	648.00	97321.43
27.69	20.53	647.00	97321.43
28.74	20.53	662.00	97321.43
29.80	20.53	687.00	97321.43
30.85	20.53	689.00	97098.21
Temps (s) 	 Thermocouple (°C) 	 Lumière 	 Pression (Pa)
0.41	20.53	687.00	97321.43
1.46	20.53	687.00	97321.43
2.51	20.53	686.00	97321.43
3.56	20.53	682.00	97321.43
Temps (s) 	 Thermocouple (°C) 	 Lumière 	 Pression (Pa)
0.41	17.11	992.00	97321.43
1.46	17.11	992.00	97321.43
2.51	17.11	994.00	96651.79
3.56	16.62	999.00	96205.36
4.61	16.62	990.00	96205.36
5.66	16.62	998.00	96205.36
6.70	16.62	999.00	95982.14
7.75	16.62	992.00	96205.36
8.81	16.62	996.00	95982.14
9.85	16.62	998.00	95982.14
10.90	16.62	1002.00	95982.14
11.95	16.62	1000.00	95982.14
13.00	16.62	997.00	95982.14
14.05	16.62	998.00	96205.36
15.10	16.62	1002.00	95982.14
16.15	16.62	1001.00	95982.14
17.20	16.62	993.00	95982.14
18.25	16.62	992.00	95982.14
19.30	16.62	1000.00	96205.36
20.35	16.62	1000.00	95982.14
21.40	16.62	1000.00	96205.36
22.45	16.62	1004.00	95982.14
23.50	15.15	1004.00	96205.36
24.56	14.66	1005.00	95982.14
25.61	14.17	1005.00	95982.14
26.66	13.69	1005.00	95982.14
27.71	13.20	1005.00	95982.14
28.76	12.71	1005.00	95982.14
29.81	12.22	1005.00	95982.14
30.86	11.73	1005.00	95982.14
31.92	11.24	1007.00	95982.14
32.97	11.24	1006.00	95982.14
34.02	10.75	1007.00	95982.14
35.07	10.26	1007.00	96205.36
36.12	10.26	1008.00	95982.14
37.17	9.78	1007.00	95982.14
38.22	9.78	1008.00	95982.14
39.27	9.78	1005.00	95982.14
40.32	9.78	1008.00	95982.14
41.37	9.78	1005.00	95982.14
42.42	9.78	1006.00	95982.14
43.47	9.78	1006.00	96205.36
44.52	9.78	1006.00	95982.14
45.57	9.29	1006.00	95982.14
46.62	9.29	1006.00	96205.36
47.67	8.80	1006.00	95982.14
48.72	8.80	1005.00	95982.14
49.77	8.80	1005.00	95982.14
50.82	8.31	1006.00	95982.14
51.87	8.31	1007.00	95982.14
52.92	8.31	1007.00	95982.14
53.97	7.82	1006.00	95982.14
55.02	7.82	1007.00	95982.14
56.07	7.82	1007.00	95982.14
57.12	7.82	1006.00	95982.14
58.17	7.82	1007.00	95982.14
59.21	7.82	1005.00	95758.93
60.26	7.82	1007.00	95982.14
61.31	7.82	1007.00	95982.14
62.36	7.33	1007.00	95982.14
63.42	7.82	1006.00	95982.14
64.46	7.82	1006.00	95982.14
65.51	7.82	1006.00	95982.14
66.56	7.82	1006.00	95982.14
67.61	7.33	1005.00	95758.93
68.66	7.33	1006.00	95982.14
69.71	7.33	1006.00	95982.14
70.76	7.33	1006.00	95982.14
71.81	7.33	1006.00	95982.14
72.86	7.33	1006.00	95982.14
73.91	7.33	1007.00	95982.14
74.96	7.33	1006.00	95982.14
76.01	7.33	1006.00	95982.14
77.06	7.33	1006.00	95758.93
78.11	7.33	1007.00	95982.14
79.16	7.33	1007.00	95758.93
80.21	7.33	1008.00	95982.14
81.26	7.33	1007.00	95758.93
82.31	7.82	1007.00	95982.14
83.36	7.82	1007.00	95982.14
84.41	7.82	1007.00	95982.14
85.46	7.82	1007.00	95982.14
86.51	7.82	1005.00	95758.93
87.56	7.82	1004.00	95982.14
88.61	7.82	1005.00	95758.93
89.66	7.82	1004.00	95982.14
90.71	7.82	1006.00	95758.93
91.76	7.82	1005.00	95982.14
92.81	7.33	1006.00	95758.93
93.86	7.33	1006.00	95758.93
94.91	7.33	1006.00	95758.93
95.96	7.33	1007.00	95758.93
97.01	7.33	1007.00	95758.93
98.06	7.33	1008.00	95758.93
99.11	7.33	1008.00	95758.93
100.16	7.33	1008.00	95758.93
101.21	7.33	1008.00	95758.93
102.26	7.33	1008.00	95758.93
103.31	7.33	1007.00	95758.93
104.36	7.33	1007.00	95758.93
105.41	7.33	1006.00	95758.93
106.49	7.33	1005.00	95758.93
107.54	7.33	1006.00	95758.93
108.59	7.33	1007.00	95758.93
109.64	7.33	1007.00	95758.93
110.69	7.33	1007.00	95758.93
111.74	7.33	1006.00	95982.14
112.79	7.33	1005.00	95758.93
113.84	6.84	1005.00	95758.93
114.89	6.84	1007.00	95758.93
115.95	6.84	1007.00	95758.93
117.00	6.84	1007.00	95758.93
118.05	6.84	1007.00	95982.14
119.10	6.84	1008.00	95758.93
120.15	6.84	1008.00	95758.93
121.20	6.84	1008.00	95758.93
122.25	7.33	1007.00	95758.93
123.30	7.33	1008.00	95758.93
124.36	7.33	1008.00	95758.93
125.41	7.33	1008.00	95758.93
126.46	7.33	1008.00	95758.93
127.51	7.33	1007.00	95758.93
128.56	7.33	1007.00	95758.93
129.61	7.33	1005.00	95758.93
130.66	7.33	1006.00	95758.93
131.71	7.33	1006.00	95535.71
132.76	7.33	1006.00	95758.93
133.81	6.84	1006.00	95758.93
134.86	6.84	1006.00	95758.93
135.92	6.84	1006.00	95758.93
136.97	6.84	1005.00	95758.93
138.02	6.84	1007.00	95758.93
139.07	6.84	1006.00	95758.93
140.12	6.84	1005.00	95758.93
141.17	6.84	1006.00	95758.93
142.22	6.84	1005.00	95758.93
143.27	6.84	1006.00	95758.93
144.32	6.84	1006.00	95758.93
145.37	6.84	1007.00	95758.93
146.42	6.84	1007.00	95758.93
147.48	6.84	1007.00	95758.93
148.53	6.84	1006.00	95758.93
149.58	6.84	1006.00	95535.71
150.63	6.84	1006.00	95758.93
151.68	6.84	1005.00	95758.93
152.73	6.84	1006.00	95535.71
153.78	6.84	1006.00	95535.71
154.83	6.84	1006.00	95535.71
155.88	6.84	1007.00	95535.71
156.93	6.84	1007.00	95535.71
157.98	6.84	1007.00	95535.71
159.03	6.84	1007.00	95535.71
160.08	6.84	1007.00	95535.71
161.13	6.84	1007.00	95535.71
162.18	6.84	1007.00	95535.71
163.23	6.84	1007.00	95535.71
164.28	6.84	1007.00	95535.71
165.34	6.84	1007.00	95535.71
166.38	6.84	1006.00	95535.71
167.44	6.84	1006.00	95535.71
168.49	6.84	1006.00	95535.71
169.54	6.84	1005.00	95535.71
170.59	6.84	1006.00	95535.71
171.64	6.84	1005.00	95535.71
172.69	6.84	1005.00	95535.71
173.74	6.84	1006.00	95535.71
174.80	6.84	1006.00	95535.71
175.85	6.84	1006.00	95535.71
176.90	6.84	1006.00	95535.71
177.95	6.35	1005.00	95535.71
179.00	6.35	1005.00	95535.71
180.05	6.35	1006.00	95535.71
181.10	6.35	1006.00	95535.71
182.15	6.35	1006.00	95535.71
183.20	6.35	1006.00	95535.71
184.25	6.35	1006.00	95535.71
185.30	6.35	1006.00	95535.71
186.35	6.35	1006.00	95535.71
187.40	6.35	1005.00	95535.71
188.45	6.35	1004.00	95535.71
189.51	6.35	1006.00	95535.71
190.56	6.35	1006.00	95535.71
191.61	6.35	1006.00	95535.71
192.66	6.35	1006.00	95535.71
193.71	6.35	1006.00	95535.71
194.76	6.35	1004.00	95312.50
195.81	6.35	1006.00	95312.50
196.86	6.35	1004.00	95535.71
197.91	6.35	1006.00	95312.50
198.97	6.35	1005.00	95312.50
200.02	6.35	1005.00	95312.50
201.07	6.35	1005.00	95312.50
202.12	6.35	1006.00	95312.50
203.17	6.35	1006.00	95535.71
204.22	6.35	1005.00	95535.71
205.27	6.35	1006.00	95312.50
206.32	6.35	1005.00	95312.50
207.37	6.35	1006.00	95312.50
208.43	6.35	1006.00	95312.50
209.48	6.35	1006.00	95312.50
210.53	6.35	1006.00	95312.50
211.58	6.35	1006.00	95312.50
212.65	6.35	1005.00	95312.50
213.70	6.35	1005.00	95312.50
214.75	6.35	1005.00	95312.50
215.80	6.35	1005.00	95312.50
216.86	6.35	1005.00	95535.71
217.91	6.35	1006.00	95312.50
218.96	6.35	1006.00	95312.50
220.01	6.35	1006.00	95312.50
221.06	6.35	1006.00	95312.50
222.11	6.35	1006.00	95312.50
223.16	6.35	1006.00	95312.50
224.21	6.35	1007.00	95312.50
225.26	6.35	1006.00	95312.50
226.32	6.35	1006.00	95312.50
227.37	6.35	1005.00	95312.50
228.42	6.35	1005.00	95312.50
229.47	6.35	1005.00	95312.50
230.52	6.35	1006.00	95312.50
231.57	6.35	1005.00	95312.50
232.62	6.35	1005.00	95312.50
233.67	6.35	1005.00	95312.50
234.72	6.35	1005.00	95312.50
235.77	5.87	1005.00	95312.50
236.82	6.35	1005.00	95312.50
237.87	5.87	1005.00	95312.50
238.92	5.87	1003.00	95089.29
239.98	5.87	1003.00	95312.50
241.03	5.87	1002.00	95089.29
242.08	5.87	1001.00	95089.29
243.13	5.87	1003.00	95089.29
244.18	5.87	1004.00	95312.50
245.23	6.35	1002.00	95089.29
246.28	6.35	1004.00	95312.50
247.33	6.35	1004.00	95089.29
248.39	6.35	1006.00	95089.29
249.44	6.35	1006.00	95089.29
250.49	6.35	1002.00	95089.29
251.54	6.35	1002.00	95312.50
252.60	6.35	1005.00	95089.29
253.65	6.35	1005.00	95089.29
254.70	6.35	1005.00	95089.29
255.75	6.35	1006.00	95089.29
256.80	6.35	1007.00	95089.29
257.85	6.35	1007.00	95089.29
258.90	6.84	1006.00	95089.29
259.95	6.84	1006.00	95089.29
261.00	6.84	1005.00	95089.29
262.05	6.84	1004.00	95089.29
263.11	6.84	1005.00	95089.29
264.16	7.33	1005.00	95089.29
265.21	6.84	1006.00	95089.29
266.26	6.84	1007.00	95089.29
267.31	6.84	1007.00	95089.29
268.36	6.84	1007.00	95089.29
269.41	6.84	1007.00	95089.29
270.46	7.33	1007.00	95089.29
271.51	7.33	1006.00	95089.29
272.56	7.33	1007.00	95089.29
273.61	7.33	1007.00	95089.29
274.66	6.84	1006.00	95089.29
275.72	6.84	1007.00	95089.29
276.77	6.84	1007.00	95089.29
277.82	6.84	1007.00	95089.29
278.87	6.84	1007.00	95089.29
279.92	6.84	1007.00	95089.29
280.97	6.84	1007.00	95089.29
282.02	6.84	1007.00	95089.29
283.07	6.84	1006.00	95089.29
284.13	6.84	1007.00	95089.29
285.17	6.84	1007.00	95089.29
