   0.0000000000    0.0739243216    0.5148369819    0.0002837077    0.0492828811    0.0241406474    0.0046318150   68.8199658610    0.1087428893    0.8317705264
  10.0003861713    0.0579961284    0.2043804090    0.0003574199    0.0386640856    0.0271252214    0.0065113684   85.6922100273    0.1379492740    1.0478790196
  20.0002827036    0.0478261125    0.1579472328    0.0003812068    0.0318840750    0.0279948067    0.0067261868   80.3842646829    0.1567799647    1.1176168880
  30.0001792359    0.0399188547    0.1273089429    0.0004023221    0.0266125698    0.0286589735    0.0068446615   74.7326857017    0.1756779374    1.1795225093
  40.0000757681    0.0336022708    0.1032213892    0.0004239808    0.0224015139    0.0294252047    0.0069741593   69.8627619407    0.1965987752    1.2430212013
  50.0004619394    0.0285442181    0.0833690286    0.0004472367    0.0190294788    0.0303221261    0.0071523557   66.0355431017    0.2198093711    1.3112025216
  56.0000081476    0.0260099406    0.0733707555    0.0004617510    0.0173399604    0.0308927124    0.0072778078   64.1416072469    0.2346021517    1.3537554352
  60.0003584717    0.0244978474    0.0674291376    0.0004716031    0.0163318983    0.0312792447    0.0073677106   63.0182146356    0.2447585800    1.3826398180
  70.0002550039    0.0212467790    0.0547724863    0.0004967616    0.0141645193    0.0322614933    0.0076130331   60.6420459941    0.2710713038    1.4563989167
  71.0000977655    0.0209584344    0.0536591608    0.0004993185    0.0139722896    0.0323607156    0.0076392351   60.4364397345    0.2737690368    1.4638952177
  80.0001515362    0.0186183534    0.0447507303    0.0005225027    0.0124122356    0.0332542105    0.0078842969   58.7899619868    0.2984843987    1.5318665374
  90.0000480685    0.0164732797    0.0369694092    0.0005480598    0.0109821865    0.0342347583    0.0081594555   57.2296104770    0.3266802353    1.6067944892
 100.0004342397    0.0147015466    0.0308571304    0.0005733895    0.0098010311    0.0351936241    0.0084371572   55.9045596947    0.3554905888    1.6810555982
 110.0003307720    0.0132212952    0.0260299155    0.0005983019    0.0088141968    0.0361296581    0.0087115016   54.7393447499    0.3848331548    1.7540936301
 120.0002273042    0.0119712979    0.0221535501    0.0006229135    0.0079808653    0.0370349838    0.0089854814   53.7256335655    0.4145597834    1.8262495766
 129.0002810750    0.0110055003    0.0192972373    0.0006447848    0.0073370002    0.0378127309    0.0092310207   52.9205308527    0.4414472137    1.8903715677
 130.0001238365    0.0109062516    0.0190118360    0.0006471912    0.0072708344    0.0378971074    0.0092580202   52.8354555811    0.4444408155    1.8974264322
 140.0000203688    0.0099905654    0.0164541964    0.0006709952    0.0066603769    0.0387222391    0.0095246515   52.0251932313    0.4744725130    1.9672148391
 150.0004065400    0.0091965423    0.0143463673    0.0006943894    0.0061310282    0.0395201740    0.0097866422   51.2879776202    0.5047219472    2.0358017095
